driver_name,ranking,accuracy,activity,wins
Caleb Maggard,61,high,inactive,0
Tony Koester,61,high,inactive,0
Sean Grubb,61,high,inactive,0
Rob Heacox,61,high,active,0
Jeff Wagenknecht,61,high,inactive,0
Keith Lightfoot,61,high,inactive,1
George Nelson,61,high,active,0
Rupert Berrington,61,high,inactive,0
Sylvain Colin,61,low,stale,0
Paul Robinson,61,low,stale,0
Johnny Brewster,61,high,stale,0
Kyle Benedict,60,high,stale,0
Matthew Thompson,60,high,inactive,0
Nikita Latman,60,high,stale,0
Josh Karczewski,60,high,stale,0
Christopher Isek,60,high,inactive,0
Ian Jennings,60,high,inactive,0
Dan Sanford,60,high,inactive,0
Blade Kuehnke,60,low,active,0
Erik Olson,59,high,active,0
Brian Ogara,59,high,inactive,0
Chris Raglin,59,high,stale,0
Jared Carpenter,59,high,inactive,0
David Lindemann,59,low,active,0
Dave Eggert,58,high,active,0
Greg Cheney,58,high,inactive,0
Quinn Harris,58,high,active,0
Mike Coons,58,high,inactive,0
Colin Sheidler,58,high,inactive,1
Christian Retterer,58,high,active,1
David Piccioli,58,high,inactive,0
Ezra Johnson,58,low,stale,0
Lucian Perniciaro,58,high,inactive,0
Jonathan Coatney,58,high,active,3
Tyler Bandy,58,low,stale,1
Richard Ross,57,high,active,0
Ryan Klopf,57,low,active,0
Jake Bucknam,57,high,inactive,0
Joey Green,57,high,inactive,0
Christopher Sochan,57,low,stale,0
Alicia Harrington,57,high,active,0
Jerry Ashmore,56,high,stale,0
William Dehne,56,high,active,0
Sanjay Singh,56,high,stale,0
Susan Puls,56,high,stale,0
Clifton Kangas,56,high,inactive,0
Josh Remmetter,56,high,inactive,0
David Capesius,56,high,active,0
Max Bear,56,high,inactive,0
Scott Johnson,56,high,inactive,0
Jeffrey Janowski,56,low,active,0
Casey Wise,55,high,inactive,0
Matt Wolfe,55,high,inactive,0
Jacob Kennedy,55,high,inactive,0
Ryan Hard,55,high,active,0
Cassandra Cedeno,55,high,inactive,0
James Wood,55,high,inactive,0
Steven Critchfield,55,high,stale,0
Casey Hamm,54,high,active,0
Chris O Driscoll,54,high,inactive,0
Kevin Roewe,54,high,stale,0
Marcus Burr,54,low,active,0
gray Harrison,53,high,active,0
Meagan Cerqueira,53,high,stale,0
John Black,53,high,inactive,0
Bartek Borowski,53,high,active,0
Nick Lindsay,53,high,active,0
Alan Copeland,53,high,stale,0
Andrea Wolfe,53,high,inactive,0
Samantha Steelman,53,high,inactive,0
Kevin Jones,53,low,stale,0
Ian Glen,52,high,stale,0
Josh Mueller,52,high,active,0
Cameron Gransee,52,high,inactive,0
Chris Murphy,52,high,inactive,0
Cole Fincham,52,high,inactive,0
Jacob Hickman,52,high,inactive,0
Elmer Wilson,52,high,inactive,0
Scott Schmidt,51,high,inactive,0
Alex Ashbaugh,51,high,stale,0
Randy Tackett,50,high,inactive,0
Mike Chilcote,50,high,active,0
Bryan Tippens,50,high,stale,0
Sidney Scott,50,high,active,2
James Smith,50,high,inactive,0
Devin Palmer,50,high,active,0
Randy Eickhoff,50,high,inactive,0
Rogerio Balbino,50,low,active,1
Logan Johnson,50,low,stale,0
Thomas Hoster,49,high,inactive,0
Bradley Kropp,49,high,active,1
John England,49,high,stale,0
Chang Ho Kim,49,high,inactive,1
Mathew Grainger,49,high,inactive,0
Jennifer Lux,49,low,stale,0
Wyatt Rhodes,49,high,stale,0
Joseph Maas,48,high,stale,0
Ron Foley,48,high,inactive,0
Chaz Smith,48,high,active,0
William Watson,48,high,stale,0
Timothy Barker,48,high,active,0
Jason Meyer,48,high,inactive,0
Meredith Campbell,47,high,inactive,0
Charles Palmer,47,high,active,0
Sara Sherman,47,high,active,0
David Durney,47,high,inactive,0
Cory Siler,46,low,stale,1
Sevag Chanchanian,46,low,stale,0
Tyler Schrameck,46,low,stale,1
Nicholas Maier,46,high,stale,0
Reuben Samuels,46,high,inactive,0
Connor Berry,46,high,active,0
Ashley Piccioli,46,high,inactive,0
Evan Brewer,46,low,active,0
Nathan Lumley,46,high,stale,0
Zechariah Hooker,45,high,stale,0
Patrick Marcum,45,high,active,0
Matt Schwab,45,high,active,0
Eileen Bolig,45,high,inactive,0
Joseph Hong,45,low,stale,0
Ken Krenk,45,high,inactive,0
Gary Griffith,44,high,active,0
Brock Yoder,44,high,inactive,0
Broxlin Pace,44,high,stale,0
Casey Tolbert,44,high,active,0
Steve Ducharme,43,high,active,0
Sawyer Amick,43,high,inactive,0
Abner Perney,43,high,inactive,0
Amanda Maize,42,high,stale,0
Erik Votipka,42,high,inactive,0
James Meeks,42,high,stale,0
Hal Denham,42,high,inactive,0
Mark Williams,41,high,inactive,0
Chris Johnson,41,high,stale,0
Logan Jones,41,low,stale,0
Scott Francis,40,high,active,0
Ken Nevins,40,high,active,0
Phillip Bunker,39,high,inactive,0
Zachary O'Hare,38,high,active,1
Thomas Morris,38,high,active,0
Sam Sherman,38,low,active,0
Brandon Ragsdale,38,low,stale,0
Ray Davis,38,high,inactive,0
Gary Rhodes,38,high,active,0
Preston Griggs,37,high,stale,0
Tristan Washburn,37,high,stale,0
Alan Sheidler,37,low,stale,0
Matt Pinheiro,37,low,stale,0
Eric Sinclair,37,low,stale,0
Duke Dunsford,37,high,active,0
Jamie Lyvers,36,high,stale,0
Conner Herrick,36,high,inactive,0
Andrea Albin,36,high,active,0
Dustin Pick,36,low,active,0
Edwin Estep,36,low,active,0
Kim Hapgood,36,high,inactive,0
Brandon Clayton,35,high,stale,0
Thomas Klonowski,34,high,inactive,0
Andrew Wilharm,34,high,inactive,0
Aleksandr Latman,34,low,stale,0
Trevor Graham,34,high,inactive,0
Mike Bommarito,34,high,inactive,0
Stephen Parsons,34,high,active,1
David Chilcote,33,high,active,0
Madeleine Anderson,33,low,active,0
Chris Crafford,33,high,stale,0
Tami Tackett,32,high,inactive,0
Pete Bates,32,high,stale,0
Tiernan Eiberger,32,high,inactive,0
David Raskowsky,32,low,stale,0
Chris Mattingly,32,high,stale,0
Vince Moellering,31,high,inactive,0
Jennifer Samardak,30,high,active,0
Roger Dumas,30,low,stale,0
Patrick Burke,29,high,inactive,0
Natalie Mertz,29,high,active,0
Eric Dieterich,29,high,inactive,0
Zachary Williams,28,high,stale,0
Daulton Hurst,28,high,inactive,0
Allison Sinosky,27,high,stale,0
Sam Borda,27,low,stale,0
Lucas Laeser,26,high,active,0
Ben Guiraldes,26,high,active,0
Dane Christensen,26,low,stale,0
Colter Taylor,25,high,active,0
Karissa Peel,24,high,stale,0
Valerie Hansen,24,high,active,0
Stuart Rotblat,24,high,inactive,0
Alan Hoppe Jr,22,high,stale,0
Ronald Pokrandt,22,high,stale,0
Connor Reiss,22,low,active,0
Stephen Otis Lee Miller,22,high,inactive,0
Alan Hoppe,20,high,stale,0
Rick Myers,20,high,inactive,0
Tyler Moser,19,high,inactive,0
Carmen Rowlands,19,high,active,0
Karan Bagga,18,low,stale,0
Aaron Linke,18,high,inactive,0
Crisanne Thompson,16,high,inactive,0
Andy Mertel,14,low,active,0
Zbigniew Lorenc,11,high,active,3
Bryan Onofre,10,low,active,0
Cooper Endres,9,low,active,0
Donna England,9,high,inactive,0
Jonathan Park,4,high,active,0
Riley Heaton,3,high,inactive,0
Jakey Harper,1,low,inactive,0
Richard Thompson,1,high,inactive,0
Nelson Santos,1,high,active,0
James Dale,1,high,active,0
Coen Washburn,1,high,active,0
Ian Nevins,1,high,active,0
Mario Sanchez-Armas-Vel,1,high,inactive,0
Gurbaj Gurbaj,1,low,stale,1
Zachary Miller,1,high,stale,0
Kane Nale,1,high,active,0
John Jones,1,high,stale,0
Dale Bahr,1,low,active,0
Kenneth Mcbee,1,high,stale,0
