driver_name,class,ranking,accuracy,events
Gurbaj Gurbaj,PF,1,low,1
Shawn Roberts,PR,100,high,6
Lothrop Withington IV,PR,92,high,2
Niles Davis,PR,88,high,2
Adam Lacy,PR,81,low,1
Gonzalo San Miguel,PR,79,high,3
Joshua Mefford,PR,76,high,1
Tyler York,PR,72,high,1
Harrison Loomis,PR,68,high,1
Jeremiah Hemphill,PR,68,high,4
Ethan Buettner,PR,67,high,1
Eric Adams,PR,67,high,1
Jason Lee,PR,67,high,1
Keith Lightfoot,PR,66,high,1
James Green,PR,65,high,2
Pete Remner,PR,64,high,3
Katie Orgler,PR,62,high,6
Blade Kuehnke,PR,60,low,1
Max Bear,PR,56,high,1
Kevin Roewe,PR,54,high,1
Rudy Bowen,PR,51,high,2
Preston Niebuhr,PR,48,high,2
William Watson,PR,48,high,1
Casey Tolbert,PR,44,high,4
Joey Green,PR,42,high,1
Chris Johnson,PR,41,high,1
Sam Sherman,PR,38,low,1
Andrea Albin,PR,36,high,1
Dustin Pick,PR,36,low,1
Ben Guiraldes,PR,26,high,2
Chris Raglin,PR,26,high,1
Carmen Rowlands,PR,19,high,1
Karissa Peel,PR,1,high,1
Eli Drennan,RT,100,medium,2
Steve Cerqueira,RT,89,high,1
Preston Niebuhr,RT,89,high,1
Michael Donovan,RT,87,medium,2
Jody Trivette,RT,81,high,1
Meagan Methered,RT,80,high,1
Ashley Roper,RT,57,medium,2
Steven Cerqueira,RT,43,high,1
Zachary Williams,RT,26,high,1
Edwin Estep,RT,18,medium,2
Meagan Cerqueira,RT,14,high,1
Zachary Miller,RT,1,high,1
Timothy Thompson,SA,100,high,9
Jan Gerber,SA,96,high,4
Robert Seelig,SA,95,high,6
Casey Weeks,SA,94,low,1
Brian Tefft Jr.,SA,91,high,1
Hugh Hart,SA,89,low,1
Charles Wright,SA,87,high,4
Zachary Smith,SA,86,high,2
Sean Heinrich,SA,84,high,2
Michael Goldenstein,SA,83,low,1
Wallace Wood,SA,79,low,1
Shelton Wright,SA,78,high,4
D'John Keith,SA,78,low,1
Ryan Finch,SA,76,high,1
Trevor Mertz,SA,75,high,2
Jason Janowski,SA,74,low,1
Michael Harbeson,SA,71,high,1
Blake McPherson,SA,71,low,1
Ryan Ruhle,SA,70,high,2
ML Culpepper,SA,70,high,1
Mason Smith,SA,69,high,1
Steven Salinas,SA,69,low,1
Austin Hulings,SA,68,high,1
Richard Schreiber,SA,67,low,1
W. Thomas Morris,SA,65,high,1
Charles Krampert,SA,65,high,1
Tristan Washburn,SA,64,high,1
Jesse Thompson,SA,64,high,4
Rupert Berrington,SA,61,high,1
George Nelson,SA,61,high,1
Sylvain Colin,SA,60,low,1
Paul Robinson,SA,60,low,1
David Lindemann,SA,58,low,1
Nikita Latman,SA,58,low,1
Casey Hamm,SA,57,high,2
Christopher Sochan,SA,56,low,1
Jeffrey Janowski,SA,55,low,1
Marcus Burr,SA,53,low,1
Thomas Morris,SA,50,high,1
Randy Eickhoff,SA,50,high,1
David Durney,SA,47,high,1
Timothy Barker,SA,46,high,1
Evan Brewer,SA,45,low,1
Joseph Hong,SA,44,low,1
Steve Ducharme,SA,43,high,4
Jody Trivette,SA,42,high,1
Scott Francis,SA,40,high,1
Ken Nevins,SA,38,high,1
Brandon Ragsdale,SA,37,low,1
Aleksandr Latman,SA,33,low,1
Chris Mattingly,SA,32,high,1
Roger Dumas,SA,29,low,1
Natalie Mertz,SA,29,high,1
Ronald Pokrandt,SA,21,high,1
Connor Reiss,SA,21,low,1
Rick Myers,SA,19,high,1
Jennifer Samardak,SA,17,high,2
James Lyvers,SA,1,high,1
Dwight Wood,SF,100,high,1
Christopher Raglin,SF,100,high,1
Ryan Finch,SF,97,high,2
Tom Harrington,SF,95,high,4
Evan Markewycz,SF,95,high,1
Chris Raglin,SF,94,high,1
Brad Turnbull,SF,94,high,1
Brian Schrowang,SF,94,low,1
Antonio Serracino,SF,93,high,1
Brett Nelson,SF,90,high,1
Ben Deschane,SF,88,low,1
Phillip Dozeman,SF,87,low,1
Wally Wood,SF,86,low,1
Brian Cather,SF,86,high,1
Hubert Borowski,SF,86,high,2
Wallace Wood,SF,85,high,1
Donald Carl,SF,85,high,2
Shawna Bowman,SF,84,high,5
Chris Whitney,SF,82,high,1
Caleb Warren,SF,81,high,2
Nathan Brasil,SF,81,low,1
Chris Ollenburg,SF,80,high,1
Peter Stein,SF,77,low,1
Devon Winrick,SF,77,low,1
Michael Ballman,SF,76,low,1
Hal Denham,SF,75,high,1
Vincent Dozeman,SF,75,high,1
Harold Denham,SF,73,high,1
Jacob Sobotka,SF,73,low,1
Dan Sanford,SF,71,high,1
Lynn Dozeman,SF,71,low,1
Julian Gil,SF,71,low,1
Geoffrey Hamilton,SF,68,high,1
Jeff Wagenknecht,SF,67,low,1
Johnny Brewster,SF,64,high,2
Ezra Johnson,SF,64,low,1
Alicia Harrington,SF,63,high,2
Keith Lightfoot,SF,62,high,1
Lee Reynolds,SF,60,high,1
Samantha Steelman,SF,59,high,1
Parker Sattler,SF,57,high,1
Josh Armantrout,SF,51,high,2
Nathan Lumley,SF,49,low,1
Ken Krenk,SF,49,high,1
Madeleine Anderson,SF,37,low,1
Chris Crafford,SF,35,high,1
Kane Nale,SF,1,high,3
Michael Golden,SR,100,high,4
Jason Stewart,SR,95,high,2
Logan Altmyer,SR,93,high,4
James Green,SR,89,high,2
Adam Raymer,SR,87,high,2
Jared Phillippe,SR,87,high,2
Trevor Phillippe,SR,87,high,2
Randy Puls,SR,85,low,1
Greg Whitworth,SR,82,low,1
Ryan Dussex,SR,81,high,1
Justin McBee,SR,79,high,1
Nicholas Verdone,SR,77,high,1
Greggory Rome,SR,76,high,1
Don Perlick,SR,75,high,2
Sam Whitworth,SR,74,high,1
Parker Sattler,SR,72,high,1
Jackson Lee,SR,71,high,1
Josh Armantrout,SR,67,high,2
